City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
271,Sola,VU,81.63,light rain,-13.8833,167.55,Leumerus Bungalows
275,Piacabucu,BR,79.02,few clouds,-10.4056,-36.4344,Piaçabuçu News
280,Savannah Bight,HN,79.0,clear sky,16.45,-85.85,Villa on Dunbar Rock
286,Inhambane,MZ,76.91,broken clouds,-23.865,35.3833,Oceano
288,Ambulu,ID,78.82,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
290,Maceio,BR,80.04,few clouds,-9.6658,-35.7353,Poutur Pousada
292,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
303,Rawson,AR,78.98,clear sky,-43.3002,-65.1023,Hosteria Sampedro
307,Ahipara,NZ,75.02,clear sky,-35.1667,173.1667,Ahipara Holiday Park
310,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
311,Morant Bay,JM,80.22,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
314,George Town,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
317,Upington,ZA,86.38,scattered clouds,-28.4478,21.2561,River Place Manor
321,Tsabong,BW,78.78,broken clouds,-26.0217,22.401,Springbok Motel
323,Pedro Velho,BR,79.09,broken clouds,-6.4392,-35.2214,Pousada Do Otávio
330,Waingapu,ID,80.71,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
331,San Policarpo,PH,80.92,overcast clouds,12.1791,125.5072,Agapita M. Nicart
332,Meulaboh,ID,75.45,broken clouds,4.1363,96.1285,Kost Pria
335,Mayumba,GA,75.96,broken clouds,-3.432,10.6554,LIKWALE LODGE
337,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
340,Flinders,AU,85.05,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
347,Santa Rosa,PH,82.09,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
348,Sainte-Rose,GP,77.04,broken clouds,16.3324,-61.6979,Villa - Duzer
359,Sumenep,ID,79.0,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
360,Kieta,PG,85.19,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
366,Boueni,YT,78.78,broken clouds,-12.9025,45.0761,The feet in water
371,Bundaberg,AU,84.22,overcast clouds,-24.85,152.35,Takalvan Motel
380,Ballina,AU,80.56,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
387,Domoni,KM,77.4,broken clouds,-12.2569,44.5319,Al Djadid
